Message Name,Field Def #,Field Name,Field Type,Array,Components,Scale,Offset,Units,Bits,Accumulate,Ref Field Name,Ref Field Value,Comment,Products:,EXAMPLE,Global Message Number,Source
,7,running_lactate_threshold_power,uint16,,,,,watts,,,,,,,,,
,8,running_lactate_threshold_hr,,,,,,bpm,,,,,,,,,
,9,cycling_lactace_threshold_hr,,,,,,bpm,,,,,,,,,
race_event,,,,,,,,,,,,,In activity file,,,358,
,1,event_id,string,,,,,,,,,,,,,,
,2,start_time,date_time,,,,,s,,,,,,,,,
,3,local_timestamp,local_date_time,,,,,s,,,,,,,,,
,4,name,string,,,,,,,,,,,,,,
,5,location,string,,,,,,,,,,,,,,
,6,start_point_lat,sint32,,,,,semicircles,,,,,,,,,
,7,start_point_long,sint32,,,,,semicircles,,,,,,,,,
,10,distance,uint32,,,100,,m,,,,,,,,,
,12,target_time,uint32,,,1000,,s,,,,,,,,,
,24,city,string,,,,,,,,,,,,,,
,26,country,string,,,,,,,,,,,,,,
training_readiness,,,,,,,,,,,,,,,,369,7
,0,training_readiness,uint8,,,,,,,,,,,,,,
,1,level,training_readiness_level,,,,,,,,,,,,,,
,20,local_timestamp,local_date_time,,,,,s,,,,,,,,,
training_load,,,,,,,,,,,,,,,,378,7
,3,acute_training_load,uint16,,,,,,,,,,,,,,
,4,chronic_training_load,uint16,,,,,,,,,,,,,,
sleep_schedule,,,,,,,,,,,,,In settings file,,,379,
,0,bed_time,,,,,,s,,,,,,,,,
,1,wake_time,,,,,,s,,,,,,,,,
sleep_restless_moments,,,,,,,,,,,,,,,,382,7
,1,restless_moments_count,,,,,,,,,,,,,,,
,2,durations,,,,,,s,,,,,Ignore last value of 251,,,,
workout_schedule,,,,,,,,,,,,,In activity file,,,428,
,1,workout_index,uint16,,,,,,,,,,,,,,
,3,est_benefit,benefit,,,,,,,,,,,,,,
,5,est_aerobic_te,uint8,,,10,,,,,,,,,,,
,6,est_anaer_te,uint8,,,10,,,,,,,,,,,
,7,sport,sport,,,,,,,,,,,,,,
,9,duration,uint32,,,1000,,s,,,,,,,,,
epo_status,,,,,,,,,,,,,Extended Prediction Orbit,,,141,4
,0,status,epo_cpe_status,,,,,,,,,,,,,,
,1,start_time,date_time,,,,,s,,,,,,,,,
,2,end_time,date_time,,,,,s,,,,,,,,,
open_water_event,,,,,,,,,,,,,Events for Open Water Swimming,,,89,
,253,timestamp,date_time,,,,,s,,,,,,,,,
,0,event_type,open_water_event_type,,,,,,,,,,,,,,
,1,field_1?,bits,,,,,,,,,,,,,,
,5,swim_stroke,swim_stroke,,,,,,,,,,,,,,
mesg_233?,,,,,,,,,,,,,,,,233,
,2,values?,byte,,,,,,,,,,,,,,
mesg_288?,,,,,,,,,,,,,,,,288,
,0,number?,sint8,,,,,,,,,,,,,,
,1,value?,sint8,,,,,,,,,,,,,,
mesg_324?,,,,,,,,,,,,,,,,324,
,1,value?,uint8,,,,,,,,,,,,,,
,2,list?,byte,,,,,,,,,,,,,,
mesg_325?,,,,,,,,,,,,,,,,325,
,0,field_0?,uint8,,,,,,,,,,,,,,
,1,field_1?,uint8,,,,,,,,,,,,,,
,2,field_2?,uint8,,,,,,,,,,,,,,
,3,field_3?,uint8,,,,,,,,,,,,,,
,4,field_4?,uint8,,,,,,,,,,,,,,
,5,field_5?,uint8,,,,,,,,,,,,,,
mesg_327?,,,,,,,,,,,,,,,,327,
,0,field_0?,uint8,,,,,,,,,,,,,,
,1,field_1?,uint8,,,,,,,,,,,,,,
,2,field_2?,uint8,,,,,,,,,,,,,,
,3,field_3?,uint32,,,,,,,,,,,,,,
,4,field_4?,byte,,,,,,,,,,,,,,
,5,field_5?,uint32,,,,,,,,,,,,,,
,6,field_6?,enum,,,,,,,,,,,,,,
ecg_summary,,,,,,,,,,,,,,,,336,7
,2,raw_sample_rate,float32,,,,,,,,,,,,,,
,3,smooth_sample_rate,float32,,,,,,,,,,,,,,
,4,ecg_timestamp,date_time,,,,,s,,,,,,,,,
,5,local_timestamp,local_date_time,,,,,s,,,,,,,,,
,7,average_heart_rate,float32,,,,,bpm,,,,,,,,,
,11,sample_time,int32,,,,,s,,,,,,,,,
,12,sdrr_hrv,int8,,,,,ms,,,,,,,,,
ecg_raw_sample,,,,,,,,,,,,,,,,337,7
,0,value,float32,,,,,,,,,,,,,,
ecg_smooth_sample,,,,,,,,,,,,,,,,338,7
,0,value,float32,,,,,,,,,,,,,,
cpe_status,,,,,,,,,,,,,Connected Predictive Ephemeris,,,394,7
,0,status,epo_cpe_status,,,,,,,,,,,,,,
,1,start_time,date_time,,,,,s,,,,,,,,,
,2,end_time,date_time,,,,,s,,,,,,,,,
hill_score,,,,,,,,,,,,,,,,402,7
,0,hill_score,uint8,,,,,,,,,,,,,,
,1,hill_strength,uint8,,,,,,,,,,,,,,
,2,hill_endurance,uint8,,,,,,,,,,,,,,
,4,level,hill_score_level,,,,,,,,,,,,,,
endurance_score,,,,,,,,,,,,,,,,403,7
,0,endurance_score,uint16,,,,,,,,,,,,,,
,1,level,endurance_score_level,,,,,,,,,,,,,,
,3,lower_bound_intermediate,uint16,,,,,,,,,,,,,,
,4,lower_bound_trained,uint16,,,,,,,,,,,,,,
,5,lower_bound_well_trained,uint16,,,,,,,,,,,,,,
,6,lower_bound_expert,uint16,,,,,,,,,,,,,,
,7,lower_bound_superior,uint16,,,,,,,,,,,,,,
,8,lower_bound_elite,uint16,,,,,,,,,,,,,,
nap,,,,,,,,,,,,,,,,412,
,0,start_time,date_time,,,,,s,,,,,,,,,7
,1,start_tz_offset,sint16,,,,,min,,,,,,,,,
,2,end_time,date_time,,,,,s,,,,,,,,,7
,3,end_tz_offset,sint16,,,,,min,,,,,,,,,
,7,timestamp_7,date_time,,,,,s,,,,,,,,,7
,,,,,,,,,,,,,,,,,
msg_432?,,,,,,,,,,,,,In metrics file,,,432,
,253,timestamp,date_time,,,,,s,,,,,,,,,
,0,field_0?,uint32,,,,,,,,,,,,,,
,1,field_1?,uint32,,,,,,,,,,,,,,
