Type Name,Base Type,Value Name,Value,Comment,Source,
file,enum,,,,,
,,speed,48,,,
,,avg_speed,49,,,
,,lap_speed,50,,,
,,sunrise,53,,,
,,sunset,54,,,
,,elapsed_time,55,,,
,,timer,56,,,
,,avg_lap_time,57,,,
,,lap_time,58,,,
,,time_of_day,59,,,
,,total_ascent,60,,,
,,total_descent,61,,,
,,time_ahead,63,,,
,,repetition,67,,,
,,vert_spd,77,,,
,,temperature,78,,,
,,30_s_power,80,,,
,,last_lap_distance,84,,,
,,last_lap_pace,85,,,
,,last_lap_speed,86,,,
,,last_lap_time,87,,,
,,maximum_speed,91,,,
,,bearing,92,,,
,,eta,93,,,
,,eta_at_next,94,,,
,,battery_pct,96,,,
,,gps,97,,,
,,aerobic_te,99,,,
,,last_lap_power,100,,,
,,last_lap_cadence,108,,,
,,last_lap_hr,165,,,
,,vertical_oscillation,170,,,
,,avg_vert_osc,171,,,
,,lap_vert_osc,172,,,
,,ground_contact_time,173,,,
,,avg_gct,174,,,
,,lap_gct,175,,,
,,last_lap_hr_max,187,,,
,,last_lap_hrr,188,,,
,,dist_remaining,197,,,
,,time_in_hr_zone_1,199,,,
,,time_in_hr_zone_2,200,,,
,,time_in_hr_zone_3,201,,,
,,time_in_hr_zone_4,202,,,
,,time_in_hr_zone_5,203,,,
,,24_hour_max,214,,,
,,24_hour_min,215,,,
,,connect_iq_field,216,,,
,,avg_ascent,219,,,
,,avg_descent,220,,,
,,max_ascent,221,,,
,,max_descent,222,,,
,,lap_ascent,223,,,
,,lap_descent,224,,,
,,last_lap_ascent,225,,,
,,last_lap_descent,226,,,
,,min_altitude,227,,,
,,max_altitude,228,,,
,,gps_altitude,229,,,
,,vert_dist_to_dest,230,,,
,,ambient_press,231,,,
,,glide_ratio,233,,,
,,glide_ratio_dest,234,,,
,,vert_speed_to_tgt,235,,,
,,course,236,,,
,,gps_heading,237,,,
,,compass_hdg,238,,,
,,off_course,239,,,
,,location,240,,,
,,dest_location,241,,,
,,lat_lon,242,,,
,,vel_made_good,243,,,
,,active_calories,245,,,
,,next_fork,246,,,
,,step_distance,302,,,
,,step_time,303,,,
,,step_speed,304,,,
,,step_pace,305,,,
,,gct_balance,307,,,
,,avg_gct_bal,308,,,
,,lap_gct_bal,309,,,
,,vertical_ratio,310,,,
,,avg_vert_ratio,311,,,
